separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
40,19,0,0.5,0.6,376832,0
40.0,19,0,0.6,0.7,375360,0
40.0,19,0,0.7,0.8,372416,0
40.0,19,0,0.8,0.9,379776,0
40.0,19,0,0.9,1.0,378304,0
40.0,19,0,1.0,1.1,373888,0
40.0,19,0,1.1,1.2,375360,0
40.0,19,0,1.2,1.3,378304,0
40.0,19,0,1.3,1.4,372416,0
40.0,19,0,1.4,1.5,373888,0
40.0,19,0,1.5,1.6,372416,0
40.0,19,0,1.6,1.7,376832,0
40.0,19,0,1.7,1.8,376832,0
40.0,19,0,1.8,1.9,376832,0
40.0,19,0,1.9,2.0,379776,0
40.0,19,0,2.0,2.1,211968,0
40.0,19,0,2.1,2.2,195776,0
40.0,19,0,2.2,2.3,217856,0
40.0,19,0,2.3,2.4,203136,0
40.0,19,0,2.4,2.5,217856,0
40.0,19,0,2.5,2.6,209024,0
40.0,19,0,2.6,2.7,200192,0
40.0,19,0,2.7,2.8,222272,0
40.0,19,0,2.8,2.9,206080,0
40.0,19,0,2.9,3.0,204608,0
40.0,19,0,3.0,3.1,209024,0
40.0,19,0,3.1,3.2,200192,0
40.0,19,0,3.2,3.3,203136,0
40.0,19,0,3.3,3.4,223744,0
40.0,19,0,3.4,3.5,207552,0
40.0,19,0,3.5,3.6,204608,0
40.0,19,0,3.6,3.7,201664,0
40.0,19,0,3.7,3.8,209024,0
40.0,19,0,3.8,3.9,206080,0
40.0,19,0,3.9,4.0,210496,0
40.0,19,0,4.0,4.1,373888,0
40.0,19,0,4.1,4.2,379776,0
40.0,19,0,4.2,4.3,375360,0
40.0,19,0,4.3,4.4,370944,0
40.0,19,0,4.4,4.5,375360,0
40.0,19,0,4.5,4.6,375360,0
40.0,19,0,4.6,4.7,372416,0
40.0,19,0,4.7,4.8,379776,0
40.0,19,0,4.8,4.9,378304,0
40.0,19,0,4.9,5.0,376832,0
40.0,19,0,5.0,5.1,376832,0
40.0,19,0,5.1,5.2,376832,0
40.0,19,0,5.2,5.3,376832,0
40.0,19,0,5.3,5.4,378304,0
40.0,19,0,5.4,5.5,375360,0
40.0,19,1,0.5,0.6,0,1472
40.0,19,1,0.6,0.7,0,1472
40.0,19,1,0.7,0.8,0,1472
40.0,19,1,0.8,0.9,0,1472
40.0,19,1,0.9,1.0,0,1472
40.0,19,1,1.0,1.1,0,1472
40.0,19,1,1.1,1.2,0,1472
40.0,19,1,1.2,1.3,0,1472
40.0,19,1,1.3,1.4,0,1472
40.0,19,1,1.4,1.5,0,1472
40.0,19,1,1.5,1.6,0,1472
40.0,19,1,1.6,1.7,0,1472
40.0,19,1,1.7,1.8,0,1472
40.0,19,1,1.8,1.9,0,1472
40.0,19,1,1.9,2.0,0,1472
40.0,19,1,2.0,2.1,200192,1472
40.0,19,1,2.1,2.2,214912,1472
40.0,19,1,2.2,2.3,195776,1472
40.0,19,1,2.3,2.4,211968,1472
40.0,19,1,2.4,2.5,195776,1472
40.0,19,1,2.5,2.6,206080,1472
40.0,19,1,2.6,2.7,210496,1472
40.0,19,1,2.7,2.8,191360,1472
40.0,19,1,2.8,2.9,207552,1472
40.0,19,1,2.9,3.0,211968,1472
40.0,19,1,3.0,3.1,206080,1472
40.0,19,1,3.1,3.2,213440,1472
40.0,19,1,3.2,3.3,210496,1472
40.0,19,1,3.3,3.4,191360,1472
40.0,19,1,3.4,3.5,203136,1472
40.0,19,1,3.5,3.6,209024,1472
40.0,19,1,3.6,3.7,210496,1472
40.0,19,1,3.7,3.8,201664,1472
40.0,19,1,3.8,3.9,209024,1472
40.0,19,1,3.9,4.0,204608,1472
40.0,19,1,4.0,4.1,1472,1472
40.0,19,1,4.1,4.2,0,1472
40.0,19,1,4.2,4.3,0,1472
40.0,19,1,4.3,4.4,0,1472
40.0,19,1,4.4,4.5,0,1472
40.0,19,1,4.5,4.6,0,1472
40.0,19,1,4.6,4.7,0,1472
40.0,19,1,4.7,4.8,0,1472
40.0,19,1,4.8,4.9,0,1472
40.0,19,1,4.9,5.0,0,1472
40.0,19,1,5.0,5.1,0,1472
40.0,19,1,5.1,5.2,0,1472
40.0,19,1,5.2,5.3,0,1472
40.0,19,1,5.3,5.4,0,1472
40.0,19,1,5.4,5.5,0,1472
